"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
0,0,0,4,1,2,0,2,0,0,0,0,"ID_e986429fd",1,2,"three",2
2,0,0,3,1,1,0,1,0,0,2,0,"ID_01e56cf35",1,3,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_a2bca034f",1,3,"four",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_8830ed0bf",1,3,"four",8
2,0,1e+05,6,1,1,0,1,0,0,2,0,"ID_2e5aa95c3",1,3,"four",1
0,0,0,5,1,1,0,1,0,0,0,0,"ID_383384860",1,1,"two",2
1,0,20000,4,1,1,1,0,0,1,1,0,"ID_fb1808378",1,1,"one",2
2,0,0,4,1,2,0,2,0,0,2,0,"ID_8c6ad5a9c",1,4,"three",8
1,0,0,6,1,0,0,0,0,0,1,0,"ID_ce4e6f5e3",1,1,"two",2
2,1,0,2,1,0,1,0,0,0,1,0,"ID_c5db25509",1,1,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_e660b8c29",1,3,"four",1
6,2,0,4,0,5,4,3,1,2,4,1,"ID_9afba2ddd",1,7,"two",3
1,0,0,7,1,1,0,1,0,0,1,0,"ID_4411a863e",1,2,"one",2
1,0,0,7,1,1,0,1,0,0,1,0,"ID_32e1a2f04",1,2,"four",2
0,0,0,3,1,1,0,1,0,0,0,0,"ID_fdfbb58ee",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_21258a6ab",1,1,"four",2
1,0,0,8,1,1,0,1,0,0,1,0,"ID_7dce915ff",1,2,"four",2
1,0,0,3,1,0,0,0,0,0,1,0,"ID_f87fe3f4d",1,1,"four",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_d67489500",1,2,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_9d8b5e426",1,2,"four",2
2,1,52831,3,1,1,1,1,0,0,1,0,"ID_bb01b9cce",1,2,"one",1
2,0,0,5,1,3,0,3,0,0,2,0,"ID_a4a123514",1,5,"three",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_30e6f0874",1,1,"three",2
1,0,0,4,0,3,0,3,0,0,1,0,"ID_746755c6a",1,4,"two",5
1,0,145000,4,1,1,1,0,0,1,1,0,"ID_f6504a012",1,1,"four",2
0,0,1e+05,3,1,1,0,1,0,0,0,0,"ID_99ce783db",1,1,"four",2
2,1,0,4,1,2,2,1,0,1,1,0,"ID_9f1d9c881",1,2,"four",7
4,0,0,6,1,0,0,0,0,0,4,0,"ID_93ca6c4cb",1,4,"four",1
3,2,170000,6,1,3,4,1,0,2,1,0,"ID_f837eaf64",1,2,"two",7
2,0,0,1,0,0,0,0,0,0,2,0,"ID_b8dfb4fc0",1,2,"two",5
0,0,60000,2,1,1,0,1,0,0,0,0,"ID_513d55526",1,1,"four",2
1,0,0,7,1,0,0,0,0,0,1,0,"ID_65209b468",1,1,"four",2
1,0,399378,6,0,0,0,0,0,0,1,0,"ID_f807e3ae2",1,1,"four",5
1,0,150000,5,1,1,0,1,0,0,1,0,"ID_4cdb0c3c8",1,2,"four",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_79d39dddc",1,2,"two",2
4,0,1e+06,7,1,2,0,2,0,0,4,0,"ID_f1f716324",1,6,"four",4
1,0,120000,4,1,1,0,1,0,0,1,0,"ID_3d552507f",1,2,"three",2
2,0,0,5,1,2,1,1,0,1,2,0,"ID_c60fd0179",1,3,"three",1
2,0,0,5,1,2,0,2,0,0,2,0,"ID_b96a5b8a1",1,4,"four",8
1,0,0,2,1,1,0,1,0,0,1,0,"ID_d0cb68fc9",1,2,"one",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_998936aa3",1,2,"two",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_c5de47a9e",1,3,"two",8
1,0,0,3,1,1,0,1,0,0,1,0,"ID_46cbf09a4",1,2,"two",2
3,0,0,4,0,1,0,1,0,0,3,0,"ID_69ac495d6",1,4,"two",5
5,1,0,4,1,2,2,1,0,1,4,0,"ID_129848608",1,5,"four",4
2,0,0,4,1,1,0,1,0,0,2,0,"ID_3b870609a",1,3,"three",1
1,0,0,5,1,2,1,1,0,1,1,0,"ID_aa5d58feb",1,2,"four",2
0,0,0,6,1,1,0,1,0,0,0,0,"ID_2ee1dc79f",1,1,"four",2
1,0,0,5,0,0,0,0,0,0,1,0,"ID_5decd81b8",1,1,"two",5
1,0,0,6,1,3,0,3,0,0,1,0,"ID_03b7e3197",1,4,"four",8
4,0,0,4,0,3,0,3,0,0,4,0,"ID_8ccb3cc0d",1,7,"four",4
2,0,0,5,1,1,0,1,0,0,2,0,"ID_7e118ff62",1,3,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_bb453978d",1,2,"four",2
4,1,570540,8,1,1,1,1,0,0,3,0,"ID_d11a87dd8",1,4,"four",4
1,0,0,3,1,0,0,0,0,0,1,0,"ID_8a2d63b83",1,1,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_b5f5fc4a3",1,3,"four",8
3,1,0,6,1,1,1,1,0,0,2,0,"ID_bf7e05c97",1,3,"four",1
1,0,0,4,1,2,1,1,0,1,1,0,"ID_681167db9",1,2,"four",2
1,0,0,3,1,0,0,0,0,0,1,0,"ID_e89f889b8",1,1,"three",2
2,0,80000,5,1,3,2,1,0,2,2,0,"ID_c325a873d",1,3,"four",7
1,0,6e+05,6,1,1,0,1,0,0,1,0,"ID_2dcc20e6a",1,2,"four",2
2,0,0,3,1,1,1,0,0,1,2,0,"ID_c138cd0bb",1,2,"four",1
3,0,96000,6,1,1,0,1,0,0,3,0,"ID_82d57aa8e",1,4,"four",1
2,1,160000,5,1,1,1,1,0,0,1,0,"ID_61169db31",1,2,"four",1
2,0,0,7,1,2,0,2,0,0,2,0,"ID_9c9c4a844",1,4,"two",8
3,0,0,5,1,1,0,1,0,0,3,0,"ID_ec6d5841f",1,4,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_22a035f82",1,2,"four",2
0,0,0,3,1,1,0,1,0,0,0,0,"ID_526facf84",1,1,"two",2
0,0,2e+05,3,1,1,0,1,0,0,0,0,"ID_b9808c506",1,1,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_005dada23",1,3,"four",8
4,2,0,6,1,1,2,1,0,0,2,0,"ID_953612ab6",1,3,"two",7
1,0,60000,4,1,2,1,1,0,1,1,0,"ID_25dd1b8fe",1,2,"two",2
0,0,0,7,1,1,0,1,0,0,0,0,"ID_802105b55",1,1,"four",2
3,0,0,5,1,2,0,2,0,0,3,0,"ID_ff37f1e24",1,5,"four",4
1,0,0,4,1,0,0,0,0,0,1,0,"ID_c3af05455",1,1,"three",2
1,0,150000,5,1,3,0,3,0,0,1,0,"ID_b935e88cc",1,4,"four",8
1,0,0,2,1,1,1,0,0,1,1,0,"ID_f0f523be5",1,1,"one",2
2,0,0,7,1,3,0,3,0,0,2,0,"ID_6b2861266",1,5,"four",8
1,0,0,4,1,3,0,3,0,0,1,0,"ID_7b1c23f5f",1,4,"four",8
1,0,0,11,1,2,0,2,0,0,1,0,"ID_4e0033a22",1,3,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_eaa6cc79a",1,3,"four",8
0,0,150000,5,1,2,0,2,0,0,0,0,"ID_3248087de",1,2,"four",2
1,1,0,5,1,1,1,1,0,0,0,0,"ID_27cd435be",1,1,"four",2
2,1,70000,4,1,2,2,1,0,1,1,0,"ID_8e7d0b672",1,2,"four",7
4,1,0,6,1,3,1,3,0,0,3,0,"ID_7fd9052d7",1,6,"four",4
1,0,0,6,1,1,0,1,0,0,1,0,"ID_89c4066fc",1,2,"four",2
2,0,0,7,1,1,0,1,0,0,2,0,"ID_9d5ef460d",1,3,"four",1
2,1,0,8,1,3,1,3,0,0,1,0,"ID_9fcc1b331",1,4,"four",8
1,0,0,5,1,3,0,3,0,0,1,0,"ID_685a26550",1,4,"four",8
2,0,0,8,1,4,0,4,0,0,2,0,"ID_e0c3601d4",1,6,"three",8
1,0,70000,5,1,2,0,2,0,0,1,0,"ID_20efc35ea",1,3,"four",8
1,0,90000,6,1,3,2,1,1,2,1,1,"ID_37a9e4139",1,2,"three",3
1,0,0,6,1,3,0,3,0,0,1,0,"ID_152f8cad0",1,4,"four",8
2,0,185000,6,1,3,0,3,0,0,2,0,"ID_1cbbbf4fc",1,5,"four",8
2,1,180000,5,1,2,1,2,0,0,1,0,"ID_3d3c62e36",1,3,"four",8
3,1,0,6,1,3,1,3,0,0,2,0,"ID_b033314cb",1,5,"four",4
1,0,0,6,1,1,0,1,0,0,1,0,"ID_99ab04d8f",1,2,"four",2
2,1,60000,5,1,1,1,1,0,0,1,0,"ID_38a8e167e",1,2,"three",1
1,0,1e+05,6,1,1,0,1,0,0,1,0,"ID_9db2a2ce0",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_ec3617e08",1,2,"four",2
1,0,220000,4,1,2,0,2,0,0,1,0,"ID_684ac0847",1,3,"four",8
1,0,125000,5,1,4,2,2,0,2,1,0,"ID_460e4f901",1,3,"three",7
2,1,0,4,0,0,1,0,0,0,1,0,"ID_42930cc34",1,1,"one",5
1,0,0,7,1,2,0,2,0,0,1,0,"ID_adfc6a82c",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_d2317b09a",1,2,"four",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_f3fb2e851",1,3,"three",1
2,0,0,4,1,3,0,3,0,0,2,0,"ID_303826991",1,5,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_605374b17",1,3,"four",1
3,2,0,7,1,6,7,1,0,5,1,0,"ID_6f1bbbea8",1,2,"four",7
1,0,0,6,1,3,0,3,0,0,1,0,"ID_f88f04e04",1,4,"four",8
4,2,150000,5,1,2,2,2,0,0,2,0,"ID_cd94c3338",1,4,"four",4
2,1,1e+05,4,1,2,2,1,0,1,1,0,"ID_270e920a2",1,2,"four",7
3,0,0,7,1,2,0,2,0,0,3,0,"ID_4290f86d0",1,5,"four",4
2,0,0,6,1,3,0,3,0,0,2,0,"ID_1263fa2a1",1,5,"four",8
1,0,35000,4,0,1,0,1,0,0,1,0,"ID_737c2e9b7",1,2,"four",5
0,0,190000,3,1,1,0,1,0,0,0,0,"ID_279628684",1,1,"four",2
1,0,3e+05,7,1,2,0,2,0,0,1,0,"ID_5d3fb798b",1,3,"four",8
2,0,0,4,1,1,1,0,0,1,2,0,"ID_31f0fb655",1,2,"four",1
3,1,0,4,1,1,1,1,0,0,2,0,"ID_a017b3379",1,3,"four",1
3,1,150000,6,1,3,1,3,0,0,2,0,"ID_ca8aafcfc",1,5,"four",4
5,2,0,5,1,1,2,1,0,0,3,0,"ID_de95acc0f",1,4,"two",4
1,0,0,4,1,0,0,0,0,0,1,0,"ID_237c1e97e",0,1,"four",6
1,0,0,6,1,2,0,2,0,0,1,0,"ID_10a7a98d4",1,3,"four",8
3,0,0,5,1,0,0,0,0,0,3,0,"ID_0d0e40262",1,3,"four",1
4,2,0,6,1,3,2,3,0,0,2,0,"ID_af8f3e7a3",1,5,"two",4
1,0,0,5,1,0,0,0,0,0,1,0,"ID_c2936f306",1,1,"two",2
1,0,0,5,0,0,0,0,0,0,1,0,"ID_74bcf8c35",1,1,"one",5
2,0,0,3,1,1,0,1,0,0,2,0,"ID_c96e06641",1,3,"two",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_94e7d7340",1,1,"four",2
3,0,0,6,1,1,0,1,0,0,3,0,"ID_19ba32c0c",1,4,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_c51c0afa1",1,2,"four",2
1,0,399378,6,0,0,0,0,0,0,1,0,"ID_1521cea11",1,1,"four",5
1,0,0,3,0,2,0,2,0,0,1,0,"ID_8ea4182b8",1,3,"three",5
1,0,180000,5,1,2,0,2,0,0,1,0,"ID_ae49790b8",1,3,"four",8
4,1,2e+05,6,1,2,1,2,0,0,3,0,"ID_e1320dc6d",1,5,"four",4
5,1,40000,6,1,1,1,1,0,0,4,0,"ID_319953e6d",1,5,"four",4
1,0,0,5,1,1,0,1,0,0,1,0,"ID_bf2c51b33",1,2,"four",2
2,0,250000,4,1,2,0,2,0,0,2,0,"ID_2958a0991",1,4,"four",8
2,1,150000,6,1,3,3,1,0,2,1,0,"ID_e9ae9c572",1,2,"three",7
2,1,0,3,1,1,1,1,0,0,1,0,"ID_3c4dc44d3",1,2,"four",1
0,0,0,4,1,1,0,1,0,0,0,0,"ID_93683a07d",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_5b7111655",1,2,"three",2
4,0,0,8,1,3,0,3,0,0,4,0,"ID_dd70f7112",1,7,"four",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_454da7e8d",1,2,"four",2
3,0,570540,6,1,0,0,0,0,0,3,0,"ID_e5d1b4214",1,3,"four",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_4e81d1658",1,2,"four",1
1,0,0,7,1,2,0,2,0,0,1,0,"ID_ffdca7ffd",1,3,"four",8
6,2,180000,7,1,1,2,1,0,0,4,0,"ID_7f2761cb5",1,5,"four",4
2,1,190000,4,1,0,1,0,0,0,1,0,"ID_0a178a015",1,1,"four",1
1,0,0,5,1,0,0,0,0,0,1,0,"ID_de4b00f08",1,1,"three",2
2,1,0,3,1,1,1,1,0,0,1,0,"ID_afa63ded3",1,2,"three",1
2,0,0,4,1,2,1,1,0,1,2,0,"ID_a5bedc6c4",1,3,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_d48ef0aff",1,2,"four",2
2,0,0,4,1,2,0,2,0,0,2,0,"ID_7faef72ec",1,4,"three",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_65ffd07f8",1,4,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_3c4d71437",1,2,"two",2
4,1,0,9,1,2,1,2,0,0,3,0,"ID_09131880f",1,5,"four",4
1,0,0,7,1,2,1,1,0,1,1,0,"ID_4e4151d41",1,2,"four",2
2,0,65000,3,1,2,1,1,0,1,2,0,"ID_5b771a45d",1,3,"two",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_77217d0be",1,1,"four",2
1,0,350000,5,1,1,0,1,0,0,1,0,"ID_bd1b6910a",1,2,"four",2
2,1,0,3,1,2,1,2,0,0,1,0,"ID_29fa619df",1,3,"one",8
2,0,0,4,1,2,0,2,0,0,2,0,"ID_61f895e96",1,4,"three",8
2,0,0,4,1,0,0,0,0,0,2,0,"ID_bd5342058",1,2,"three",1
2,0,0,5,1,0,0,0,0,0,2,0,"ID_1d47f9832",1,2,"four",1
4,3,70000,5,1,2,5,0,0,2,1,0,"ID_a658fdcab",1,1,"one",7
1,0,50000,3,1,1,0,1,0,0,1,0,"ID_bc5005b67",1,2,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_ef3846ac6",1,2,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_95d8b0982",1,2,"four",2
3,0,130000,5,1,2,0,2,0,0,3,0,"ID_4902d19cf",1,5,"four",4
2,0,84529,3,1,1,1,0,0,1,2,0,"ID_064150acd",1,2,"four",1
1,0,0,5,1,3,1,2,0,1,1,0,"ID_16d9ea969",1,3,"two",8
2,1,1e+05,4,1,2,2,1,0,1,1,0,"ID_7e4eeaa19",1,2,"two",7
1,0,0,7,0,1,1,0,0,1,1,0,"ID_a5770b193",1,1,"four",5
0,0,0,3,0,1,0,1,0,0,0,0,"ID_d3fc85879",1,1,"four",5
2,1,180000,4,1,1,1,1,0,0,1,0,"ID_56ecb3520",1,2,"four",1
1,0,0,7,1,2,1,1,0,1,1,0,"ID_a9d94042c",1,2,"four",2
2,1,0,3,1,1,1,1,0,0,1,0,"ID_84ed8c2e0",1,2,"four",1
2,0,120000,3,1,0,0,0,0,0,2,0,"ID_7fb3908b0",1,2,"three",1
0,0,0,4,1,1,0,1,0,0,0,0,"ID_7317d5801",1,1,"two",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_cfe31e6d2",1,2,"four",2
1,0,32000,4,1,3,2,1,0,2,1,0,"ID_cb376b633",1,2,"four",7
0,0,0,5,1,1,0,1,0,0,0,0,"ID_78f401238",1,1,"one",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_732d312de",1,2,"one",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_4bd902ea2",1,2,"three",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_05a3b0997",1,3,"one",8
1,0,0,6,1,3,0,3,0,0,1,0,"ID_ad30863a6",1,4,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_0d4ce6e99",1,3,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_5be3504eb",1,2,"four",2
1,0,2e+05,6,1,1,1,0,0,1,1,0,"ID_0e68cd2b2",1,1,"four",2
3,1,570540,10,1,3,2,2,0,1,2,0,"ID_f9be30ce1",1,4,"four",4
0,0,2e+05,4,1,1,0,1,0,0,0,0,"ID_4816941c8",1,1,"four",2
2,0,0,2,1,1,0,1,0,0,2,0,"ID_0b99dcaee",1,3,"three",1
1,0,0,4,1,1,1,0,0,1,1,0,"ID_6824fd1e9",1,1,"two",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_ed4f9f2e4",1,3,"four",1
5,3,170000,5,1,3,4,2,0,1,2,0,"ID_2de9d4da3",1,4,"three",7
3,0,0,5,1,1,0,1,0,0,3,0,"ID_9617c2554",1,4,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_2d623678d",1,3,"four",1
3,1,770229,8,1,1,2,0,0,1,2,0,"ID_25a1721ec",1,2,"four",7
2,1,0,5,1,1,1,1,0,0,1,0,"ID_955a59f61",1,2,"four",1
0,0,25000,1,1,1,0,1,0,0,0,0,"ID_d01d6fd52",1,1,"four",2
2,0,70000,4,1,1,0,1,0,0,2,0,"ID_09d7b98bc",1,3,"two",1
1,0,0,6,1,3,0,3,0,0,1,0,"ID_9675a0fac",1,4,"four",8
2,0,0,6,1,2,0,2,0,0,2,0,"ID_ce6ef74eb",1,4,"two",8
2,0,30000,5,0,1,0,1,0,0,2,0,"ID_465be6f5f",1,3,"four",5
0,0,0,4,1,2,0,2,0,0,0,0,"ID_139a33398",1,2,"four",2
0,0,0,1,1,1,0,1,0,0,0,0,"ID_7a263af2d",1,1,"two",2
2,0,107000,4,1,1,0,1,0,0,2,0,"ID_1b8d15e17",1,3,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_9a3d2550a",1,2,"four",2
1,0,0,4,1,3,1,2,0,1,1,0,"ID_1f03eadcf",1,3,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_674a711b6",1,1,"four",2
2,1,172000,5,1,1,1,1,0,0,1,0,"ID_a27b1f475",1,2,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_5996c6c08",1,2,"two",2
2,1,150000,5,1,3,2,2,0,1,1,0,"ID_95af42ab9",1,3,"two",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_2f0e608d6",1,2,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_487f80c4a",1,3,"four",8
1,0,0,6,1,1,0,1,0,0,1,0,"ID_57b4a1dfa",1,2,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_13d6e3208",1,3,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_c415fa4f1",1,2,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_2aaafdad3",1,1,"three",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_5e74e2ebd",1,4,"two",8
2,0,150000,3,1,0,0,0,0,0,2,0,"ID_64aff97b6",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_789e96967",1,2,"three",2
1,0,0,6,1,3,0,3,0,0,1,0,"ID_7b4a99ddb",1,4,"four",8
1,0,0,4,1,2,1,1,0,1,1,0,"ID_358746f9f",1,2,"three",2
3,1,0,6,1,2,1,2,0,0,2,0,"ID_a770dd587",1,4,"four",4
2,1,0,4,1,2,1,2,0,0,1,0,"ID_450829ac8",1,3,"three",8
2,1,0,6,1,3,1,3,0,0,1,0,"ID_e63a9851f",1,4,"four",8
1,0,564834,6,1,3,2,1,0,2,1,0,"ID_28fd4d90b",1,2,"four",7
2,0,0,4,1,1,0,1,0,0,2,0,"ID_55b588ef5",1,3,"four",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_fa4c17ee4",1,1,"four",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_9da2cea13",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_e6059fcf7",1,2,"four",2
2,0,0,7,1,2,0,2,0,0,2,0,"ID_a38bc4139",1,4,"three",8
