"id","monthly_rent_payment","overcrowding_by_bedrooms","number_of_all_rooms_in_the_house","overcrowding_by_rooms","has_bathroom_in_the_household","if_the_household_has_refrigerator","males_younger_than_12_years_of_age","males_12_years_of_age_and_older","total_males_in_the_household","females_younger_than_12_years_of_age","females_12_years_of_age_and_older","total_females_in_the_household","persons_younger_than_12_years_of_age","persons_12_years_of_age_and_older","number_of_persons_living_in_the_household","years_of_schooling","years_behind_in_school","household_size","if_predominant_material_on_the_outside_wall_is_block_or_brick","if_predominant_material_on_the_outside_wall_is_socket_wood_zinc_or_absbesto","if_predominant_material_on_the_outside_wall_is_prefabricated_or_cement","if_predominant_material_on_the_outside_wall_is_waste_material","if_predominant_material_on_the_outside_wall_is_wood","if_predominant_material_on_the_outside_wall_is_zink","if_predominant_material_on_the_outside_wall_is_natural_fibers","if_predominant_material_on_the_outside_wall_is_other","if_predominant_material_on_the_floor_is_mosaic_ceramic_terrazo","if_predominant_material_on_the_floor_is_cement","if_predominant_material_on_the_floor_is_other","if_predominant_material_on_the_floor_is_natural_material","if_no_floor_at_the_household","if_predominant_material_on_the_floor_is_wood","if_predominant_material_on_the_roof_is_metal_foil_or_zink","if_predominant_material_on_the_roof_is_fiber_cement_mezzanine","if_predominant_material_on_the_roof_is_natural_fibers","if_predominant_material_on_the_roof_is_other","if_the_house_has_ceiling","if_water_provision_inside_the_dwelling","if_water_provision_outside_the_dwelling","if_no_water_provision","electricity_from_cnfl_ice_esph_or_jasec","electricity_from_private_plant","no_electricity_in_the_dwelling","no_toilet_in_the_dwelling","toilet_connected_to_septic_tank","toilet_connected_to_black_hole_or_letrine","toilet_connected_to_other_system","no_main_source_of_energy_used_for_cooking_no_kitchen","main_source_of_energy_used_for_cooking_electricity","main_source_of_energy_used_for_cooking_gas","main_source_of_energy_used_for_cooking_wood_charcoal","if_rubbish_disposal_mainly_by_tanker_truck","if_rubbish_disposal_mainly_by_botan_hollow_or_buried","if_rubbish_disposal_mainly_by_burning","if_rubbish_disposal_mainly_by_throwing_in_an_unoccupied_space","if_rubbish_disposal_mainly_other","if_walls_are_bad","if_walls_are_regular","if_walls_are_good","if_roof_are_bad","if_roof_are_regular","if_roof_are_good","if_floor_are_bad","if_floor_are_regular","if_floor_are_good","if_disable_person","if_male","if_female","if_less_than_10_years_old","if_free_or_coupled_uunion","if_married","if_divorced","if_separated","if_single","if_household_head","household_level_identifier","number_of_children_0_to_19_in_household","number_of_adults_in_household","no_of_individuals_65_plus_in_the_household","of_total_individuals_in_the_household","dependency","edjefe","edjefa","meaneduc","no_level_of_education","incomplete_primary","complete_primary","incomplete_academic_secondary_level","complete_academic_secondary_level","incomplete_technical_secondary_level","complete_technical_secondary_level","undergraduate_and_higher_education","postgraduate_higher_education","bedrooms","overcrowding","own_and_fully_paid_house","own_paying_in_installments","rented","precarious","other_assigned_borrowed","if_the_household_has_notebook_or_desktop_computer","if_the_household_has_tv","no_of_mobile_phones","region_central","region_chorotega","region_pacafico_central","region_huetar_atlantica","region_huetar_norte","area_zona_urbana","area_zona_rural","age_in_years","years_of_education_of_male_head_of_household_squared","target"
"ID_cc7e6aa47",80000,0,4,0,1,1,0,1,1,0,0,0,0,1,1,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"51dbfbe84",0,1,0,1,0,15,0,15,0,0,0,0,0,0,0,1,0,2,0.5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,43,225,"four"
"ID_69e2d3a98",0,0,5,0,1,1,0,1,1,0,1,1,0,2,2,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,"7601af881",0,2,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,69,0,"two"
"ID_a0fb0a5c4",40000,0,1,0,0,0,0,1,1,0,0,0,0,1,1,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"09a26c158",0,1,1,1,8,7,0,7,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,71,49,"two"
"ID_0f78108a1",0,0,4,0,1,1,0,0,0,0,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"796b14867",0,1,0,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,55,0,"two"
"ID_684ac0847",220000,0,4,0,1,1,0,2,2,0,1,1,0,3,3,6,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"a5581e42c",0,3,0,3,0,6,0,6,0,0,1,0,0,0,0,0,0,2,1.5,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,58,36,"four"
"ID_1bbfa6c4c",0,0,5,0,1,1,0,1,1,0,2,2,0,3,3,15.3333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"315908be1",0,3,0,3,0,0,17,15.333333,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,48,0,"four"
"ID_832130cf0",0,0,8,0,1,1,0,4,4,0,3,3,0,7,7,7,0.428571428571429,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"7968d49d0",2,5,1,7,0.75,0,3,8.6000004,0,1,0,0,0,0,0,0,0,5,1.4,1,0,0,0,0,0,1,5,1,0,0,0,0,1,0,94,0,"four"
"ID_233430e46",0,0,3,0,1,1,1,1,2,0,1,1,1,2,3,5.33333333333333,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,"7c57f8237",1,2,0,3,0.5,0,6,6,0,0,1,0,0,0,0,0,0,2,1.5,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,43,0,"one"
"ID_3ff755f6e",0,0,5,0,1,1,1,1,2,0,2,2,1,3,4,3.5,0.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"f24427b62",2,2,0,4,1,3,0,3,0,1,0,0,0,0,0,0,0,3,1.3333334,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,37,9,"two"
"ID_ca8a5a349",50000,0,5,0,1,1,0,1,1,1,2,3,1,3,4,5.5,0.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"27f245f86",2,2,0,4,1,8,0,7,0,0,0,1,0,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,43,64,"three"
"ID_334f7158f",0,0,6,0,1,1,0,1,1,0,1,1,0,2,2,10,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"4a0ee6247",0,2,0,2,0,0,9,10,0,0,0,1,0,0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,59,0,"four"
"ID_61c8aa0d5",0,0,6,0,1,1,1,1,2,0,2,2,1,3,4,11.5,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"1a6bac0d0",1,3,1,4,1,0,16,14.333333,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,31,0,"four"
"ID_1b32caf34",0,0,5,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"39f697073",0,1,1,1,8,0,1,1,0,1,0,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,76,0,"four"
"ID_c60fd0179",0,0,5,0,1,1,1,1,2,0,2,2,1,3,4,7,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,"d38726dc1",1,3,0,4,0.33333334,7,0,8.333333,0,0,0,1,0,0,0,0,0,3,1.3333334,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,50,49,"three"
"ID_44345cbd5",0,0,4,0,1,1,2,1,3,0,2,2,2,3,5,4.2,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"cdc2971fe",2,3,0,5,0.66666669,0,6,7,0,0,1,0,0,0,0,0,0,2,2.5,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,56,0,"four"
"ID_5c003d155",40000,0,4,0,1,1,1,1,2,1,1,2,2,2,4,3.5,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"19d60e118",2,2,0,4,1,7,0,7,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,26,49,"one"
"ID_542581efb",0,0,6,0,1,1,0,0,0,0,3,3,0,3,3,8.66666666666667,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,"a72fc17cc",0,3,1,3,0.5,0,3,8.666667,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,71,0,"four"
"ID_3c4d71437",0,0,4,0,1,1,0,1,1,0,1,1,0,2,2,5.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"94406d2fb",0,2,1,2,1,2,0,5.5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,69,4,"two"
"ID_11475793a",0,0,5,0,1,1,2,2,4,1,3,4,3,5,8,4.25,0.25,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,"4f2bd02b9",4,4,0,8,1,0,7,6.25,0,0,0,1,0,0,0,0,0,3,2.6666667,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,53,0,"two"
"ID_e0c3601d4",0,0,8,0,1,1,0,4,4,0,2,2,0,6,6,11.6666666666667,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"93d9d32cb",0,6,1,6,0.2,15,0,11.666667,0,0,0,0,0,0,0,1,0,4,1.5,1,0,0,0,0,1,1,6,1,0,0,0,0,1,0,48,225,"three"
"ID_a9e93f475",0,0,5,0,1,1,1,1,2,2,3,5,3,4,7,5.85714285714286,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,"210424415",3,4,0,7,0.75,0,8,10.25,0,0,0,1,0,0,0,0,0,3,2.3333333,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,55,0,"one"
"ID_6b939f366",0,0,4,0,1,1,1,3,4,1,1,2,2,4,6,5,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"f95f4c3a5",3,3,0,6,1,9,0,10,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,57,81,"two"
"ID_240067824",0,0,4,0,1,0,0,2,2,0,0,0,0,2,2,5,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,"1e200610d",0,2,1,2,1,2,0,5,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,89,4,"four"
"ID_a3e8515a9",0,0,4,0,1,1,0,1,1,0,1,1,0,2,2,7.5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"b35fda494",0,2,2,2,8,6,0,7.5,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,69,36,"two"
"ID_992110c35",0,0,6,0,1,1,1,2,3,0,1,1,1,3,4,3.5,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"354c2ae41",1,3,1,4,1,1,0,3.3333333,0,1,0,0,0,0,0,0,0,3,1.3333334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,69,1,"four"
"ID_308a05a16",0,0,8,0,1,0,1,1,2,0,1,1,1,2,3,5.66666666666667,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,"5905417",2,1,0,3,2,0,9,9,0,0,0,1,0,0,0,0,0,6,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,32,0,"two"
"ID_fade08814",0,0,4,0,1,0,0,3,3,0,2,2,0,5,5,6.6,0.4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"f7b421c2c",3,2,0,5,1.5,6,0,9.5,0,0,1,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,42,36,"two"
"ID_3858e29da",0,0,5,0,1,1,0,2,2,1,2,3,1,4,5,3,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,"e3c5ca152",1,4,0,5,0.25,0,0,3.5,1,0,0,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,"four"
"ID_8dcc86449",0,0,2,0,1,1,0,2,2,0,1,1,0,3,3,0.666666666666667,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"6a45cfe95",0,3,2,3,2,0,0,0.66666669,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,82,0,"two"
"ID_22ba26b7f",0,0,5,0,1,1,0,1,1,2,2,4,2,3,5,4.2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"84b8c1802",3,2,1,5,4,0,3,10,0,1,0,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,71,0,"three"
"ID_f718be071",0,0,3,0,1,1,1,1,2,1,1,2,2,2,4,2.5,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,"d242ffa67",2,2,0,4,1,4,0,4,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,30,16,"four"
"ID_e6f9980ac",0,0,1,0,1,1,0,1,1,0,1,1,0,2,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"f8c962870",0,2,0,2,0,0,5,4,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,46,0,"three"
"ID_31398b7f9",0,0,5,0,1,1,0,1,1,0,1,1,0,2,2,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"c9d6e90a9",0,2,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,50,0,"two"
